Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42723.1,dnaA,0,1524,1,Rv0001,Chromosomal replication initiator protein DnaA
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42724.1,dnaN,2051,3260,1,Rv0002,DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42725.1,recF,3279,4437,1,Rv0003,DNA replication and repair protein RecF (single-strand DNA binding protein)
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42726.1,no_gene_name,4433,4997,1,Rv0004,Conserved hypothetical protein
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42727.1,gyrB,5239,7267,1,Rv0005,DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42728.1,gyrA,7301,9818,1,Rv0006,DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42729.1,no_gene_name,9913,10828,1,Rv0007,Possible conserved membrane protein
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42730.1,no_gene_name,11873,12311,-1,Rv0008c,Possible membrane protein
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42731.1,ppiA,12467,13016,1,Rv0009,Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42732.1,no_gene_name,13132,13558,-1,Rv0010c,Probable conserved membrane protein
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42733.1,no_gene_name,13713,13995,-1,Rv0011c,Probable conserved transmembrane protein
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42734.1,no_gene_name,14088,14877,1,Rv0012,Probable conserved membrane protein
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42735.1,trpG,14913,15612,1,Rv0013,Possible anthranilate synthase component II TrpG (glutamine amidotransferase)
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42736.1,pknB,15589,17470,-1,Rv0014c,Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42737.1,pknA,17466,18762,-1,Rv0015c,Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)
Mycobacterium tuberculosis H37Rv,AL123456.3,CCP42738.1,pbpA,18758,20234,-1,Rv0016c,Probable penicillin-binding protein PbpA
